common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,2,0,0,0,3,5,0,0,3,1,0,0,1,1,1,1,1,19,2013
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,2,0,10,2013
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,4,0,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,12,2013
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,2013
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
